Region,Region code,Indicator,Unit,Year,Value
Australian Capital Territory,8,Area-average rainfall (a),mm,2016-17,846
Australian Capital Territory,8,Area-average rainfall (a),mm,2017-18,707
Australian Capital Territory,8,Area-average rainfall (a),mm,2018-19,673
Australian Capital Territory,8,Area-average rainfall (a),mm,2019-20,627
Australian Capital Territory,8,Area-average rainfall (a),mm,2020-21,1153
Australian Capital Territory,8,Area-average rainfall (a),mm,2021-22,1230
Australian Capital Territory,8,Accessible volume in major dam storages as of June 30 (b),ML,2014-15,101264
Australian Capital Territory,8,Accessible volume in major dam storages as of June 30 (b),ML,2015-16,110571
Australian Capital Territory,8,Accessible volume in major dam storages as of June 30 (b),ML,2016-17,126031
Australian Capital Territory,8,Accessible volume in major dam storages as of June 30 (b),ML,2017-18,108511
Australian Capital Territory,8,Accessible volume in major dam storages as of June 30 (b),ML,2018-19,87110
Australian Capital Territory,8,Accessible volume in major dam storages as of June 30 (b),ML,2019-20,100504
Australian Capital Territory,8,Accessible volume in major dam storages as of June 30 (b),ML,2020-21,158430
Australian Capital Territory,8,Accessible volume in major dam storages as of June 30 (b),ML,2021-22,158430

